                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1338,                 4.5187,                 1.2791,                0.74713,                0.69231,                0.69037,                0.61161,                0.46708,                 3.2534,                0.91699,              5.712e-05,              5.712e-05,              5.712e-05
                      2,                0.97857,                 2.6885,                 1.1579,                0.81496,                0.59615,                0.71982,                0.58756,                0.63063,                 2.9897,                 1.0183,             0.00011537,             0.00011537,             0.00011537
                      3,                0.83402,                  2.082,                 1.0771,                0.59491,                0.59615,                0.58693,                0.40285,                0.92891,                 2.6385,                 1.3068,             0.00016726,             0.00016726,             0.00016726
                      4,                0.83427,                 1.6151,                 1.0848,                0.26273,                0.17308,                0.18504,                0.14899,                 1.0438,                 5.4748,                  1.396,             0.00021279,             0.00021279,             0.00021279
                      5,                0.83384,                 1.5036,                 1.0839,                0.41414,                0.21154,                0.19429,                0.07788,                 1.5785,                 4.2976,                 2.1821,             0.00025196,             0.00025196,             0.00025196
                      6,                0.78563,                 1.4023,                 1.0941,                0.49285,                0.63462,                0.55088,                0.37622,                 1.2245,                 4.1745,                 1.9173,             0.00028476,             0.00028476,             0.00028476
                      7,                0.81211,                 1.3439,                 1.1406,                0.58992,                0.61538,                0.59525,                0.42324,                0.97945,                 1.7431,                 1.4478,              0.0003112,              0.0003112,              0.0003112
                      8,                0.82735,                 1.3444,                 1.1208,                0.48219,                0.51932,                0.46897,                 0.2896,                 1.3127,                 2.7478,                 2.0679,             0.00033129,             0.00033129,             0.00033129
                      9,                0.81093,                 1.2561,                 1.0885,                0.54167,                   0.25,                  0.262,                0.10821,                 1.6228,                 12.982,                 2.7728,               0.000345,               0.000345,               0.000345
                     10,                0.84211,                  1.275,                 1.0964,                0.65842,                0.51923,                0.53552,                0.32253,                 1.4923,                 2.8054,                 2.0246,             0.00035236,             0.00035236,             0.00035236
                     11,                0.84742,                 1.4743,                 1.2029,                    0.4,                0.26923,                 0.2376,                0.10794,                 1.9574,                  15.92,                 2.9615,             0.00035336,             0.00035336,             0.00035336
                     12,                0.88821,                 1.3271,                 1.2047,                0.38123,                0.53846,                0.43201,                0.20855,                 1.7708,                 7.3648,                  2.573,             0.00032523,             0.00032523,             0.00032523
                     13,                0.86106,                 1.4323,                 1.1796,                0.46025,                0.63462,                0.56591,                 0.3645,                 1.1681,                 4.4025,                 1.8193,             0.00028988,             0.00028988,             0.00028988
                     14,                0.84857,                 1.2848,                 1.1198,                0.33026,                0.40385,                0.33266,                0.12273,                 1.5976,                 5.1374,                 2.4061,             0.00025454,             0.00025454,             0.00025454
                     15,                0.82573,                 1.1722,                 1.1449,                  0.484,                0.61333,                0.50783,                0.31934,                 1.1256,                 3.6864,                 1.5573,              0.0002192,              0.0002192,              0.0002192
                     16,                0.75414,                 1.0223,                 1.1034,                 0.7777,                0.67278,                0.69805,                0.48409,                 1.0651,                 1.3144,                 1.5089,             0.00018385,             0.00018385,             0.00018385
                     17,                  0.693,                0.91558,                 1.0027,                0.65138,                0.71154,                 0.7059,                0.47669,                 1.0811,                 1.3901,                 1.5352,             0.00014851,             0.00014851,             0.00014851
                     18,                0.73275,                0.89785,                 1.0188,                0.71002,                0.65385,                0.62269,                0.44171,                 1.0908,                 1.3544,                 1.5651,             0.00011317,             0.00011317,             0.00011317
                     19,                0.59881,                0.82019,                0.96177,                 0.7271,                0.80769,                0.77804,                0.57844,                0.84687,                  1.113,                 1.3183,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     20,                0.61578,                 0.7324,                 1.0275,                0.80718,                0.80507,                0.79031,                0.57069,                0.91957,                 1.0112,                 1.3791,             4.2483e-05,             4.2483e-05,             4.2483e-05
