                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1077,                 3.1218,                 1.2425,                0.00333,                0.96154,                0.58439,                0.42469,                0.58158,                 3.2273,                 1.0171,              5.712e-05,              5.712e-05,              5.712e-05
                      2,                  1.016,                 2.5698,                 1.1596,                0.00757,                0.94156,                 0.6824,                0.48056,                0.69688,                 3.0673,                 1.0846,             0.00011537,             0.00011537,             0.00011537
                      3,                0.92178,                 2.1779,                 1.1147,                 0.0034,                0.98077,                 0.7631,                 0.5583,                0.70361,                 3.0189,                  1.081,             0.00016726,             0.00016726,             0.00016726
                      4,                0.82993,                 1.9169,                 1.0513,                0.84436,                0.17308,                0.74593,                0.57941,                0.66243,                 2.9549,                 1.0623,             0.00021279,             0.00021279,             0.00021279
                      5,                0.80304,                 1.8758,                 1.0241,                0.92164,                0.28846,                0.73514,                0.55497,                0.83061,                 2.9111,                 1.2184,             0.00025196,             0.00025196,             0.00025196
                      6,                0.76915,                 1.7555,                 1.0232,                0.76725,                0.50726,                0.71631,                0.54837,                0.77963,                 2.8029,                 1.1401,             0.00028476,             0.00028476,             0.00028476
                      7,                 0.7538,                 1.7031,                 1.0407,                0.79039,                0.43524,                0.71527,                0.57502,                0.81504,                 2.8788,                 1.1917,              0.0003112,              0.0003112,              0.0003112
                      8,                0.75604,                  1.606,                 1.0154,                0.66696,                0.59615,                0.54818,                0.36509,                 1.0341,                 2.9548,                 1.3942,             0.00033129,             0.00033129,             0.00033129
                      9,                0.71457,                 1.4696,                 1.0014,                0.72327,                0.55298,                0.63401,                0.48689,                0.96436,                 2.7343,                 1.3383,               0.000345,               0.000345,               0.000345
                     10,                0.75712,                 1.4759,                 1.0165,                0.81643,                0.59875,                0.67179,                0.52489,                0.91274,                 2.7496,                 1.2877,             0.00035236,             0.00035236,             0.00035236
                     11,                0.73541,                 1.9813,                 1.0561,                0.69072,                0.47257,                0.53164,                 0.3911,                 1.1163,                 2.9572,                 1.4627,             0.00035336,             0.00035336,             0.00035336
                     12,                0.72026,                 1.8681,                  1.018,                0.68301,                0.48077,                0.54116,                0.38102,                 1.0725,                 2.7088,                 1.4225,             0.00032523,             0.00032523,             0.00032523
                     13,                0.69973,                 1.7814,                0.97545,                0.59699,                0.51923,                0.51037,                 0.3928,                0.85505,                 2.4167,                 1.2427,             0.00028988,             0.00028988,             0.00028988
                     14,                0.76302,                 1.7404,                 1.0432,                0.78752,                0.57031,                 0.6387,                 0.4538,                0.95762,                 2.2372,                  1.262,             0.00025454,             0.00025454,             0.00025454
                     15,                0.64483,                 1.5143,                0.96219,                0.68413,                0.74971,                0.75334,                0.57918,                0.88958,                 1.7882,                 1.1963,              0.0002192,              0.0002192,              0.0002192
                     16,                0.58897,                  1.362,                 0.9753,                0.84036,                0.69231,                0.82328,                0.63225,                0.87176,                 1.6655,                 1.1699,             0.00018385,             0.00018385,             0.00018385
                     17,                0.61747,                 1.4276,                0.93763,                0.74118,                0.77103,                 0.7399,                0.57453,                0.79822,                 1.4848,                 1.1149,             0.00014851,             0.00014851,             0.00014851
                     18,                0.63866,                 1.4135,                0.91785,                0.74237,                0.76923,                 0.7411,                 0.6149,                0.69778,                 1.4401,                  1.047,             0.00011317,             0.00011317,             0.00011317
                     19,                0.54337,                 1.2361,                0.89019,                0.77066,                   0.75,                0.75406,                0.62875,                0.69697,                 1.4136,                 1.0517,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     20,                0.57411,                  1.202,                  0.953,                0.82816,                0.74154,                 0.7718,                0.63384,                0.74136,                 1.3979,                 1.0916,             4.2483e-05,             4.2483e-05,             4.2483e-05
