                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1126,                 3.1389,                 1.2497,                0.00333,                0.96154,                0.57821,                0.41763,                0.58232,                 3.2314,                 1.0157,              5.712e-05,              5.712e-05,              5.712e-05
                      2,                 1.0452,                 2.5741,                 1.1702,                 0.0034,                0.98077,                0.65819,                  0.517,                 0.6097,                 3.0274,                 1.0093,             0.00011537,             0.00011537,             0.00011537
                      3,                0.93642,                 2.2108,                 1.1324,                 0.0034,                0.98077,                0.77049,                0.62331,                0.71053,                 2.9991,                 1.0786,             0.00016726,             0.00016726,             0.00016726
                      4,                0.85644,                 1.9364,                 1.0669,                      1,                0.06234,                0.77019,                0.60835,                0.64347,                 2.9649,                 1.0865,             0.00021279,             0.00021279,             0.00021279
                      5,                 0.8462,                 1.8719,                 1.0597,                 0.9363,                0.28291,                 0.7659,                0.57285,                0.79535,                 2.9143,                 1.1595,             0.00025196,             0.00025196,             0.00025196
                      6,                0.83581,                 1.7978,                 1.0808,                0.79642,                0.45156,                0.69198,                0.50064,                0.79586,                 2.8072,                 1.1955,             0.00028476,             0.00028476,             0.00028476
                      7,                0.85167,                 1.8168,                 1.0671,                0.78748,                0.57019,                0.72513,                0.52863,                0.76773,                 2.7872,                 1.1867,              0.0003112,              0.0003112,              0.0003112
                      8,                0.81054,                 1.6733,                 1.0385,                0.64791,                0.67308,                0.72944,                0.53076,                0.84289,                 2.6099,                 1.2156,             0.00033129,             0.00033129,             0.00033129
                      9,                0.74738,                 1.5985,                 1.0156,                0.73467,                0.51923,                0.63712,                0.42052,                 1.1175,                 2.7673,                   1.56,               0.000345,               0.000345,               0.000345
                     10,                0.83073,                 1.5895,                 1.0429,                0.75706,                    0.5,                0.63895,                0.39266,                 1.1799,                 2.9185,                 1.5424,             0.00035236,             0.00035236,             0.00035236
                     11,                0.75952,                 2.1483,                  1.076,                0.72744,                0.61538,                0.62664,                0.35534,                 1.2373,                 2.7378,                 1.7129,             0.00035336,             0.00035336,             0.00035336
                     12,                0.77307,                  1.889,                 1.0699,                0.29488,                0.38462,                0.26041,                0.09516,                 1.4963,                 3.3945,                 2.2421,             0.00032523,             0.00032523,             0.00032523
                     13,                0.80669,                 1.9841,                 1.0579,                0.54235,                0.54704,                0.44426,                0.26803,                 1.1802,                 2.4659,                 1.5512,             0.00028988,             0.00028988,             0.00028988
                     14,                0.75331,                 1.8332,                 1.0226,                0.73458,                 0.6919,                0.71386,                0.51838,                0.86075,                 1.9166,                 1.2329,             0.00025454,             0.00025454,             0.00025454
                     15,                0.73548,                 1.7645,                 1.0109,                0.72804,                0.73077,                 0.7469,                 0.5887,                0.78069,                 1.5618,                 1.1752,              0.0002192,              0.0002192,              0.0002192
                     16,                 0.7377,                 1.5396,                 1.0705,                0.67848,                0.80769,                0.78921,                0.62199,                0.79588,                 1.4749,                 1.1708,             0.00018385,             0.00018385,             0.00018385
                     17,                0.65767,                 1.5163,                0.95665,                 0.7641,                0.74754,                0.82088,                0.65803,                0.70882,                 1.3128,                  1.083,             0.00014851,             0.00014851,             0.00014851
                     18,                 0.7207,                 1.5426,                0.96531,                0.83988,                0.70618,                0.82832,                0.64624,                0.72499,                 1.3829,                 1.0846,             0.00011317,             0.00011317,             0.00011317
                     19,                0.61354,                 1.3991,                0.91576,                0.80394,                0.78846,                0.81222,                0.64081,                0.74087,                 1.3336,                 1.0975,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     20,                0.64822,                 1.3938,                 1.0016,                 0.8367,                   0.75,                0.81361,                0.62683,                0.72613,                 1.3331,                 1.0812,             4.2483e-05,             4.2483e-05,             4.2483e-05
