                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1098,                  3.134,                 1.2565,                0.00333,                0.96154,                0.53848,                0.35696,                0.58865,                 3.2544,                 1.0201,              5.712e-05,              5.712e-05,              5.712e-05
                      2,                 1.0177,                 2.6405,                 1.1611,                 0.0034,                0.98077,                0.67001,                 0.5432,                0.58955,                 3.0349,                0.99373,             0.00011537,             0.00011537,             0.00011537
                      3,                0.94483,                 2.2111,                  1.116,                 0.0034,                0.98077,                0.77992,                0.58825,                0.73819,                 3.0384,                 1.1167,             0.00016726,             0.00016726,             0.00016726
                      4,                0.87799,                  1.934,                 1.0752,                 0.8627,                0.48342,                0.74352,                0.58567,                0.66968,                 3.0167,                 1.0856,             0.00021279,             0.00021279,             0.00021279
                      5,                0.82021,                 1.8788,                 1.0349,                      1,                0.34348,                0.76504,                0.61844,                0.69658,                 2.9535,                 1.1203,             0.00025196,             0.00025196,             0.00025196
                      6,                0.80474,                 1.7623,                 1.0545,                0.88795,                0.30493,                0.65055,                0.48487,                0.74932,                 2.9354,                 1.1304,             0.00028476,             0.00028476,             0.00028476
                      7,                0.81504,                 1.7076,                 1.0598,                0.77711,                0.46948,                0.66519,                0.45704,                0.90101,                  2.966,                 1.2608,              0.0003112,              0.0003112,              0.0003112
                      8,                 0.8064,                 1.6702,                 1.0543,                 0.5423,                0.63802,                0.67698,                0.45183,                 0.8742,                 2.6291,                 1.2467,             0.00033129,             0.00033129,             0.00033129
                      9,                0.74563,                 1.5792,                 1.0102,                0.75624,                0.77567,                0.79185,                0.59342,                0.85945,                 2.2368,                  1.262,               0.000345,               0.000345,               0.000345
                     10,                0.80864,                 1.5857,                  1.022,                0.83688,                0.69068,                0.78819,                0.55421,                0.90279,                 2.1458,                 1.3174,             0.00035236,             0.00035236,             0.00035236
                     11,                0.73724,                 2.0568,                 1.0727,                0.72852,                0.67091,                0.68112,                 0.5179,                0.99919,                 2.3557,                 1.3367,             0.00035336,             0.00035336,             0.00035336
                     12,                0.78311,                 1.9451,                 1.0633,                0.77328,                0.73077,                0.72367,                0.54962,                 0.8829,                 1.9772,                 1.2181,             0.00032523,             0.00032523,             0.00032523
                     13,                0.76799,                   1.89,                 1.0229,                 0.7216,                0.69231,                 0.7008,                0.48344,                 1.0117,                 2.1113,                 1.3607,             0.00028988,             0.00028988,             0.00028988
                     14,                0.75866,                 1.8316,                 1.0199,                 0.7624,                0.59615,                0.65889,                0.45108,                0.98782,                 2.1322,                 1.3736,             0.00025454,             0.00025454,             0.00025454
                     15,                0.75737,                 1.7722,                 1.0035,                0.75966,                0.57692,                 0.6896,                0.51709,                 1.0382,                 1.7279,                 1.3863,              0.0002192,              0.0002192,              0.0002192
                     16,                0.68653,                 1.5547,                 1.0219,                0.75235,                   0.75,                0.74712,                0.55655,                0.88306,                  1.606,                 1.2763,             0.00018385,             0.00018385,             0.00018385
                     17,                0.63297,                 1.5022,                0.96425,                0.79103,                0.73077,                0.73306,                0.60047,                0.77852,                 1.4923,                 1.1689,             0.00014851,             0.00014851,             0.00014851
                     18,                0.72834,                 1.5412,                0.99508,                0.75704,                0.78846,                0.78112,                0.62231,                0.79601,                  1.505,                 1.1772,             0.00011317,             0.00011317,             0.00011317
                     19,                0.62149,                 1.3873,                 0.9223,                0.74368,                0.78121,                0.75092,                0.60593,                0.74804,                 1.4355,                 1.1218,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     20,                0.63536,                 1.3998,                0.99448,                0.72246,                0.80104,                0.75856,                0.62387,                0.77609,                 1.3145,                 1.1781,             4.2483e-05,             4.2483e-05,             4.2483e-05
