                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1177,                 3.1384,                 1.2556,                0.00333,                0.96154,                0.52433,                0.37748,                0.58568,                 3.2582,                 1.0171,              5.712e-05,              5.712e-05,              5.712e-05
                      2,                 1.0117,                 2.6179,                 1.1611,                 0.0034,                0.98077,                0.67862,                0.52733,                0.58849,                 3.0457,                0.99389,             0.00011537,             0.00011537,             0.00011537
                      3,                 0.9278,                 2.2211,                 1.1354,                 0.0034,                0.98077,                0.77382,                 0.5583,                0.74804,                 3.0612,                 1.1352,             0.00016726,             0.00016726,             0.00016726
                      4,                0.86077,                  1.957,                 1.0691,                      1,                0.11489,                0.68668,                0.54409,                0.73295,                 2.9938,                 1.0791,             0.00021279,             0.00021279,             0.00021279
                      5,                0.83288,                 1.8566,                 1.0603,                0.84785,                 0.2145,                0.70317,                0.53414,                0.79584,                 2.9939,                  1.159,             0.00025196,             0.00025196,             0.00025196
                      6,                 0.8216,                 1.7645,                 1.0704,                0.80849,                0.56843,                0.71924,                0.53472,                0.84861,                 2.8838,                 1.1995,             0.00028476,             0.00028476,             0.00028476
                      7,                0.82612,                 1.7563,                 1.0463,                0.76968,                0.70699,                0.70552,                0.53659,                0.75016,                 2.6854,                 1.1798,              0.0003112,              0.0003112,              0.0003112
                      8,                 0.7781,                 1.6258,                 1.0262,                 0.7256,                0.55769,                0.63223,                0.45468,                0.85858,                 2.6531,                 1.2493,             0.00033129,             0.00033129,             0.00033129
                      9,                0.73653,                 1.5453,                 1.0147,                0.72951,                0.65385,                0.70636,                0.53398,                0.87928,                 2.3803,                 1.2784,               0.000345,               0.000345,               0.000345
                     10,                0.78201,                 1.5768,                  1.011,                0.69754,                0.67308,                0.72797,                0.47268,                0.97052,                 2.4082,                 1.3729,             0.00035236,             0.00035236,             0.00035236
                     11,                0.73427,                 2.0977,                 1.0447,                0.73739,                0.59405,                0.68744,                0.48463,                0.98079,                 2.6253,                 1.3226,             0.00035336,             0.00035336,             0.00035336
                     12,                0.73018,                 1.8718,                 1.0314,                0.81135,                  0.579,                0.71393,                0.52413,                0.94317,                 2.1147,                 1.2745,             0.00032523,             0.00032523,             0.00032523
                     13,                0.78521,                  1.903,                 1.0571,                0.65219,                0.65385,                0.69946,                0.54101,                0.92198,                 1.9668,                 1.2263,             0.00028988,             0.00028988,             0.00028988
                     14,                0.77068,                 1.8446,                 1.0562,                0.75734,                0.72032,                0.76178,                0.57709,                0.90483,                 1.6288,                 1.2604,             0.00025454,             0.00025454,             0.00025454
                     15,                0.77665,                 1.6785,                 1.0198,                0.62142,                0.82079,                0.75522,                0.57843,                0.87947,                 1.5865,                 1.2607,              0.0002192,              0.0002192,              0.0002192
                     16,                0.69046,                 1.5829,                 1.0307,                0.76661,                 0.6949,                0.78724,                0.62132,                0.86107,                 1.5037,                 1.2086,             0.00018385,             0.00018385,             0.00018385
                     17,                0.68991,                  1.501,                0.96324,                0.79609,                0.76923,                0.78292,                0.64194,                0.73829,                 1.2984,                 1.1439,             0.00014851,             0.00014851,             0.00014851
                     18,                0.68197,                 1.5384,                0.96879,                0.76704,                   0.75,                0.79314,                 0.6483,                0.73791,                 1.3034,                 1.1069,             0.00011317,             0.00011317,             0.00011317
                     19,                0.59274,                 1.3945,                0.89801,                0.74462,                0.78505,                0.79392,                0.65847,                0.68874,                 1.2735,                  1.081,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     20,                0.63634,                 1.3877,                0.98949,                0.67526,                0.88462,                0.79587,                0.65945,                0.69224,                 1.2289,                 1.0817,             4.2483e-05,             4.2483e-05,             4.2483e-05
