                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1817,                  3.786,                 1.3173,                0.00333,                0.96154,                0.53626,                0.37236,                0.59247,                 3.2512,                 1.0176,              5.712e-05,              5.712e-05,              5.712e-05
                      2,                 1.0541,                 3.3894,                 1.2266,                 0.0034,                0.98077,                0.65663,                0.53271,                0.59099,                 3.1108,                 1.0034,             0.00011537,             0.00011537,             0.00011537
                      3,                0.97282,                 3.0382,                 1.1062,                 0.0034,                0.98077,                0.73784,                0.55643,                 0.7169,                 3.1346,                  1.097,             0.00016726,             0.00016726,             0.00016726
                      4,                 0.9649,                 2.6654,                 1.1869,                0.76902,                0.59615,                0.75142,                0.58366,                0.70998,                 3.0355,                 1.0823,             0.00021279,             0.00021279,             0.00021279
                      5,                0.86344,                 2.4929,                 1.1364,                      1,                0.15025,                0.72435,                0.55651,                0.70272,                 3.0229,                 1.0757,             0.00025196,             0.00025196,             0.00025196
                      6,                0.83151,                 2.3884,                 1.1138,                0.87243,                 0.2633,                0.74998,                0.54301,                0.81916,                 3.0175,                 1.1589,             0.00028476,             0.00028476,             0.00028476
                      7,                 0.8818,                  2.265,                 1.1041,                      1,                0.26599,                0.77288,                0.56113,                0.81751,                 2.9753,                  1.147,              0.0003112,              0.0003112,              0.0003112
                      8,                0.90403,                 2.3023,                 1.1356,                0.86477,                0.36538,                0.73581,                0.55632,                0.88362,                  2.922,                 1.2158,             0.00033129,             0.00033129,             0.00033129
                      9,                0.81677,                 2.2156,                 1.0415,                0.71863,                0.61538,                0.61223,                0.46064,                0.86198,                 2.7467,                  1.207,               0.000345,               0.000345,               0.000345
                     10,                 0.8651,                 2.1662,                 1.0684,                0.71477,                0.57831,                0.66508,                0.51737,                0.83335,                 2.6492,                 1.1634,             0.00035236,             0.00035236,             0.00035236
                     11,                0.76634,                 1.8927,                 1.0801,                0.75318,                0.64563,                0.66047,                0.47521,                0.98065,                 2.3286,                 1.3495,             0.00035336,             0.00035336,             0.00035336
                     12,                0.79331,                 1.8657,                 1.0745,                0.71774,                0.73077,                0.66621,                0.49009,                0.97222,                 1.9005,                 1.3193,             0.00032523,             0.00032523,             0.00032523
                     13,                0.84299,                 1.9608,                 1.0844,                0.72069,                0.76923,                0.69362,                0.52231,                0.83968,                 1.7911,                 1.2447,             0.00028988,             0.00028988,             0.00028988
                     14,                0.79543,                 1.8624,                 1.0387,                0.73344,                0.76923,                0.70563,                0.54024,                 0.8754,                 1.7864,                 1.2153,             0.00025454,             0.00025454,             0.00025454
                     15,                0.77034,                 1.6426,                 1.0333,                0.73169,                0.83915,                0.76922,                0.55519,                0.89418,                 1.6377,                 1.2055,              0.0002192,              0.0002192,              0.0002192
                     16,                0.70194,                 1.5488,                 1.0522,                0.82373,                0.71154,                0.77151,                0.58584,                0.79975,                  1.754,                 1.1553,             0.00018385,             0.00018385,             0.00018385
                     17,                 0.6844,                 1.5855,                0.96481,                0.72193,                0.76923,                0.74532,                0.57023,                0.79755,                 1.4853,                 1.1496,             0.00014851,             0.00014851,             0.00014851
                     18,                0.71543,                 1.5375,                 0.9748,                0.73238,                0.84209,                0.76464,                0.59674,                0.77134,                 1.4184,                 1.1674,             0.00011317,             0.00011317,             0.00011317
                     19,                0.60936,                 1.4245,                0.92116,                0.75469,                0.84615,                0.76792,                0.62432,                0.71799,                 1.3107,                  1.129,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     20,                0.63091,                   1.38,                0.97962,                 0.7524,                0.80769,                 0.7933,                0.64564,                0.73561,                 1.2415,                 1.1354,             4.2483e-05,             4.2483e-05,             4.2483e-05
