                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2642,                 3.4161,                 1.2956,                0.00333,                0.96154,                0.53221,                0.39396,                0.58718,                 3.2468,                 1.0127,              5.712e-05,              5.712e-05,              5.712e-05
                      2,                 1.1332,                  2.781,                 1.1709,                 0.0034,                0.98077,                0.62618,                0.46579,                0.63445,                 3.0913,                 1.0247,             0.00011537,             0.00011537,             0.00011537
                      3,                 1.0413,                 2.4085,                 1.1116,                 0.0034,                0.98077,                0.71089,                0.54356,                0.70086,                 3.1369,                 1.0672,             0.00016726,             0.00016726,             0.00016726
                      4,                 1.1525,                 2.2576,                 1.1635,                0.00333,                0.96154,                0.68484,                 0.5055,                0.71449,                 3.1373,                 1.0889,             0.00021279,             0.00021279,             0.00021279
                      5,                 1.0486,                 2.0777,                 1.1091,                0.36572,                0.86538,                0.72092,                0.51228,                0.78704,                 3.1527,                 1.1548,             0.00025196,             0.00025196,             0.00025196
                      6,                 1.0263,                 1.9769,                 1.1252,                0.88633,                0.26923,                0.69488,                0.48391,                0.87499,                 3.0759,                 1.2107,             0.00028476,             0.00028476,             0.00028476
                      7,                 1.0273,                 2.0215,                 1.1034,                0.95285,                0.38877,                0.72788,                0.45649,                0.94081,                 2.9411,                 1.3411,              0.0003112,              0.0003112,              0.0003112
                      8,                 1.0302,                 1.8547,                 1.1441,                0.76183,                0.59615,                0.70597,                 0.5078,                0.91921,                 2.8088,                 1.3337,             0.00033129,             0.00033129,             0.00033129
                      9,                0.93119,                  1.859,                 1.0965,                0.76287,                0.57692,                0.62288,                0.43451,                0.98351,                 2.7913,                 1.3057,               0.000345,               0.000345,               0.000345
                     10,                 1.0155,                 1.8563,                 1.1143,                0.74821,                0.59615,                0.66119,                0.48267,                0.89166,                 2.4097,                 1.2557,             0.00035236,             0.00035236,             0.00035236
                     11,                0.89959,                 2.3974,                 1.1764,                0.48214,                0.40385,                0.34979,                0.18099,                 1.2301,                  3.137,                 1.6983,             0.00035336,             0.00035336,             0.00035336
                     12,                0.89033,                 2.2077,                 1.1745,                0.56015,                 0.5388,                0.51883,                0.30644,                 1.2756,                 2.8126,                 1.6813,             0.00032523,             0.00032523,             0.00032523
                     13,                0.88095,                 2.2297,                 1.1337,                0.45349,                0.61538,                0.52445,                0.27766,                 1.2157,                  2.499,                 1.5201,             0.00028988,             0.00028988,             0.00028988
                     14,                 1.0022,                 2.1912,                 1.2359,                0.75426,                0.70838,                0.70906,                0.53976,                 0.9398,                 1.8275,                 1.3104,             0.00025454,             0.00025454,             0.00025454
                     15,                0.85591,                   2.05,                 1.0768,                0.70571,                0.69173,                0.70488,                0.54805,                0.83087,                 1.6579,                 1.2025,              0.0002192,              0.0002192,              0.0002192
                     16,                0.90908,                 1.9165,                 1.1808,                0.71725,                0.68304,                 0.6949,                0.50956,                0.90179,                 1.7314,                 1.2996,             0.00018385,             0.00018385,             0.00018385
                     17,                0.79633,                 1.8964,                 1.0852,                0.73351,                0.73077,                0.77362,                0.60748,                0.84378,                 1.5191,                 1.1962,             0.00014851,             0.00014851,             0.00014851
                     18,                0.85248,                 1.9612,                 1.0917,                0.83628,                0.67308,                0.77138,                0.63756,                0.74856,                 1.4042,                 1.1726,             0.00011317,             0.00011317,             0.00011317
                     19,                0.79254,                 1.8052,                 1.0201,                0.76735,                0.71154,                0.76838,                0.62964,                0.74757,                   1.39,                 1.1459,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     20,                0.77149,                 1.9589,                  1.094,                0.78768,                0.71154,                0.79712,                0.65445,                 0.7452,                 1.3682,                 1.1394,             4.2483e-05,             4.2483e-05,             4.2483e-05
