                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0638,                 3.1266,                 1.2125,                0.00333,                0.96154,                0.53134,                0.38288,                0.56837,                 3.2225,                 1.0107,              5.712e-05,              5.712e-05,              5.712e-05
                      2,                 1.0344,                 2.6143,                 1.1998,                 0.0034,                0.98077,                0.68728,                0.51066,                0.64105,                 3.0548,                 1.0445,             0.00011537,             0.00011537,             0.00011537
                      3,                0.91269,                 2.2685,                 1.1156,                 0.0034,                0.98077,                0.75457,                0.56213,                0.69735,                 3.0415,                 1.0909,             0.00016726,             0.00016726,             0.00016726
                      4,                0.89062,                 1.9654,                 1.1029,                0.59965,                0.67308,                0.65005,                0.47905,                0.73045,                 3.0616,                 1.1255,             0.00021279,             0.00021279,             0.00021279
                      5,                0.87189,                 1.8635,                 1.0699,                      1,                0.34603,                0.78437,                0.53959,                0.88723,                 2.9581,                 1.2084,             0.00025196,             0.00025196,             0.00025196
                      6,                 0.8351,                 1.7996,                 1.0687,                0.76079,                0.51923,                0.74939,                 0.5665,                0.77432,                 2.7837,                 1.1539,             0.00028476,             0.00028476,             0.00028476
                      7,                0.84185,                 1.7495,                 1.0537,                0.74435,                0.67308,                0.73291,                0.55846,                0.74471,                 2.8687,                 1.1443,              0.0003112,              0.0003112,              0.0003112
                      8,                0.84628,                 1.6686,                 1.0642,                0.73216,                0.68349,                0.71424,                 0.5436,                0.83062,                 2.5561,                 1.2786,             0.00033129,             0.00033129,             0.00033129
                      9,                0.73676,                 1.5488,                0.99796,                0.73822,                0.65083,                0.67347,                0.48622,                0.93219,                 2.4882,                 1.3309,               0.000345,               0.000345,               0.000345
                     10,                0.82997,                 1.5736,                 1.0466,                0.70162,                0.65385,                0.67917,                0.45712,                0.94419,                 2.5551,                 1.3614,             0.00035236,             0.00035236,             0.00035236
                     11,                0.78355,                 2.0855,                  1.093,                0.69117,                0.60263,                0.64584,                0.40534,                  1.134,                 2.8171,                 1.5684,             0.00035336,             0.00035336,             0.00035336
                     12,                0.80491,                 1.8917,                 1.0869,                0.59588,                0.57692,                0.54332,                 0.3462,                 1.1336,                 2.6331,                 1.5875,             0.00032523,             0.00032523,             0.00032523
                     13,                0.82231,                 1.9393,                 1.0555,                0.57607,                0.54887,                0.55718,                0.29943,                 1.1839,                  2.385,                 1.6422,             0.00028988,             0.00028988,             0.00028988
                     14,                0.73876,                 1.7992,                0.99744,                0.72862,                0.65385,                0.70665,                0.52938,                 0.8901,                 2.0481,                 1.2854,             0.00025454,             0.00025454,             0.00025454
                     15,                0.73647,                 1.7475,                 1.0124,                0.73798,                0.76923,                0.77445,                 0.5586,                0.92594,                 1.7151,                 1.2613,              0.0002192,              0.0002192,              0.0002192
                     16,                0.67676,                 1.5167,                 1.0056,                  0.742,                0.73077,                0.77176,                0.60713,                0.79288,                 1.6238,                  1.176,             0.00018385,             0.00018385,             0.00018385
                     17,                0.63517,                 1.5142,                0.95941,                0.85625,                   0.75,                0.81034,                0.63507,                0.81978,                 1.3433,                 1.2238,             0.00014851,             0.00014851,             0.00014851
                     18,                0.75038,                 1.5415,                0.99576,                0.84802,                0.75118,                0.82309,                0.66967,                0.77481,                 1.3549,                 1.1419,             0.00011317,             0.00011317,             0.00011317
                     19,                0.60848,                 1.3908,                0.93227,                0.74455,                0.82692,                0.82108,                0.65434,                0.74769,                 1.3247,                 1.1177,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     20,                0.58323,                 1.3349,                0.93167,                0.89837,                   0.75,                 0.8499,                0.68602,                 0.7296,                 1.2426,                 1.1272,             4.2483e-05,             4.2483e-05,             4.2483e-05
