                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2554,                 4.1305,                  1.336,                0.00333,                0.96154,                0.53311,                0.39106,                0.57148,                  3.227,                 1.0112,              5.712e-05,              5.712e-05,              5.712e-05
                      2,                 1.1591,                 3.7928,                 1.3012,                 0.0034,                0.98077,                0.65877,                0.51291,                0.58332,                 3.1512,                0.99223,             0.00011537,             0.00011537,             0.00011537
                      3,                 1.0544,                 3.4139,                 1.1854,                 0.0034,                0.98077,                0.63192,                0.47716,                0.60694,                 3.1759,                 1.0218,             0.00016726,             0.00016726,             0.00016726
                      4,                 1.0349,                 2.8935,                 1.2548,                 0.0034,                0.98077,                0.78054,                0.60135,                0.61702,                 3.1037,                 1.0319,             0.00021279,             0.00021279,             0.00021279
                      5,                0.93896,                   2.78,                  1.225,                0.00724,                0.92308,                0.64254,                0.50539,                0.71474,                 3.1813,                  1.134,             0.00025196,             0.00025196,             0.00025196
                      6,                0.96096,                 2.5209,                 1.1973,                0.91172,                0.19898,                0.73472,                0.56886,                0.71409,                 3.0237,                 1.1122,             0.00028476,             0.00028476,             0.00028476
                      7,                0.90851,                 2.4568,                 1.1718,                0.85663,                0.22988,                0.67028,                0.52078,                0.76609,                 2.9957,                 1.1341,              0.0003112,              0.0003112,              0.0003112
                      8,                0.95313,                 2.5381,                 1.1473,                0.76082,                0.63462,                0.72068,                 0.5278,                0.77953,                 2.7911,                 1.1657,             0.00033129,             0.00033129,             0.00033129
                      9,                0.81642,                 2.3586,                 1.0554,                0.67084,                0.62718,                0.67256,                0.52078,                0.82671,                 2.4217,                 1.1658,               0.000345,               0.000345,               0.000345
                     10,                0.81878,                 2.2516,                 1.0879,                0.73341,                0.61538,                 0.6864,                0.50175,                0.92863,                 2.3991,                 1.3158,             0.00035236,             0.00035236,             0.00035236
                     11,                0.77939,                 2.0521,                 1.0873,                0.81154,                0.51923,                0.65661,                0.47851,                0.85127,                 2.2864,                 1.2248,             0.00035336,             0.00035336,             0.00035336
                     12,                0.80801,                  1.959,                 1.0556,                0.69264,                0.60683,                0.66841,                0.49742,                0.81051,                 2.0401,                 1.2102,             0.00032523,             0.00032523,             0.00032523
                     13,                0.85821,                 2.0206,                 1.0896,                0.73643,                0.59114,                 0.6761,                 0.5206,                0.89297,                 1.9785,                 1.3055,             0.00028988,             0.00028988,             0.00028988
                     14,                0.81276,                  1.937,                 1.0741,                 0.7309,                0.65385,                0.68431,                0.50267,                0.94652,                 1.8476,                 1.3481,             0.00025454,             0.00025454,             0.00025454
                     15,                0.77373,                 1.8142,                 1.0113,                0.66202,                   0.75,                0.73388,                0.56001,                0.87962,                 1.6168,                 1.2926,              0.0002192,              0.0002192,              0.0002192
                     16,                0.78635,                 1.6896,                 1.0534,                0.79526,                 0.6723,                0.73403,                0.57075,                 0.8728,                 1.5521,                 1.2604,             0.00018385,             0.00018385,             0.00018385
                     17,                 0.7066,                 1.6156,                 1.0216,                0.73755,                0.76923,                0.75235,                0.59641,                0.81713,                 1.4637,                  1.228,             0.00014851,             0.00014851,             0.00014851
                     18,                0.72371,                 1.5462,                 1.0218,                0.72921,                   0.75,                0.73759,                0.58891,                0.74724,                 1.4218,                 1.1697,             0.00011317,             0.00011317,             0.00011317
                     19,                0.66933,                 1.4664,                 0.9315,                0.78138,                0.75615,                0.77717,                0.64911,                 0.6991,                 1.3764,                 1.1052,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     20,                0.68895,                 1.5142,                 1.0092,                 0.7989,                0.76404,                0.78954,                0.66047,                0.68874,                 1.3859,                  1.092,             4.2483e-05,             4.2483e-05,             4.2483e-05
