                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1132,                 3.1376,                 1.2505,                0.00333,                0.96154,                0.58302,                0.41599,                0.58844,                 3.2368,                 1.0212,              5.712e-05,              5.712e-05,              5.712e-05
                      2,                 1.0244,                 2.6285,                 1.1652,                 0.0034,                0.98077,                0.64294,                0.48517,                 0.6128,                 3.0745,                 1.0138,             0.00011537,             0.00011537,             0.00011537
                      3,                0.96249,                 2.2306,                 1.1438,                0.56587,                0.82692,                0.74594,                0.53443,                0.73246,                 3.0416,                 1.0835,             0.00016726,             0.00016726,             0.00016726
                      4,                0.88381,                 1.9861,                 1.0816,                      1,                 0.1833,                0.75714,                0.59066,                0.67394,                 2.9238,                  1.057,             0.00021279,             0.00021279,             0.00021279
                      5,                0.84085,                 1.9012,                 1.0437,                      1,                0.16989,                0.72509,                0.53132,                0.80097,                  2.976,                 1.1348,             0.00025196,             0.00025196,             0.00025196
                      6,                 0.7952,                 1.8258,                 1.0495,                0.79753,                0.45464,                0.66311,                0.49749,                0.81764,                 2.8668,                  1.198,             0.00028476,             0.00028476,             0.00028476
                      7,                0.82482,                 1.7473,                 1.0675,                0.90379,                0.42308,                0.69817,                0.54254,                0.79937,                 2.8944,                 1.1679,              0.0003112,              0.0003112,              0.0003112
                      8,                0.82071,                 1.6189,                 1.0388,                0.70547,                0.64496,                0.70425,                0.49042,                0.84617,                  2.626,                 1.2206,             0.00033129,             0.00033129,             0.00033129
                      9,                0.73016,                 1.5188,                  1.019,                0.70258,                0.63462,                0.68169,                0.51157,                0.92272,                 2.3697,                 1.3397,               0.000345,               0.000345,               0.000345
                     10,                0.81129,                 1.6253,                 1.0352,                0.74281,                0.71154,                0.68897,                0.46398,                0.93359,                  2.281,                 1.3658,             0.00035236,             0.00035236,             0.00035236
                     11,                0.76866,                 2.0976,                 1.0971,                0.79439,                0.67308,                0.69973,                0.49891,                0.94224,                 2.3744,                 1.3227,             0.00035336,             0.00035336,             0.00035336
                     12,                0.74912,                 1.9014,                 1.0439,                0.71551,                0.73077,                0.69822,                0.46517,                 1.0268,                 2.1798,                 1.4884,             0.00032523,             0.00032523,             0.00032523
                     13,                 0.8098,                 2.0073,                 1.0596,                0.71868,                0.73701,                0.74966,                0.55012,                0.90916,                 1.7717,                 1.3116,             0.00028988,             0.00028988,             0.00028988
                     14,                0.76812,                  1.804,                 1.0435,                0.75013,                0.75054,                0.75439,                0.59358,                0.76628,                 1.6599,                 1.1638,             0.00025454,             0.00025454,             0.00025454
                     15,                0.74402,                 1.7528,                 1.0056,                0.78419,                0.71154,                0.77784,                0.58277,                0.89413,                 1.5531,                 1.2989,              0.0002192,              0.0002192,              0.0002192
                     16,                0.72661,                 1.5443,                 1.0782,                0.80342,                0.70743,                0.75917,                0.60154,                0.85797,                 1.5714,                 1.2251,             0.00018385,             0.00018385,             0.00018385
                     17,                0.63743,                 1.4863,                0.95031,                0.81374,                0.69231,                0.79234,                0.60387,                0.81696,                 1.4303,                 1.2251,             0.00014851,             0.00014851,             0.00014851
                     18,                  0.722,                 1.5689,                0.98306,                0.86045,                0.71154,                 0.8239,                0.64004,                0.74562,                 1.3648,                 1.1471,             0.00011317,             0.00011317,             0.00011317
                     19,                0.61291,                 1.4147,                0.91512,                0.88251,                0.71154,                0.81049,                0.67204,                0.69972,                 1.3122,                 1.0669,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     20,                0.65615,                  1.403,                  1.012,                0.80913,                   0.75,                0.80596,                0.64591,                0.72551,                 1.2924,                 1.0796,             4.2483e-05,             4.2483e-05,             4.2483e-05
