                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4122,                 4.2975,                 4.2771,                0.00231,                0.65385,                0.00588,                0.00299,                 2.9876,                 4.3093,                 4.1585,              5.712e-05,              5.712e-05,              5.712e-05
                      2,                 3.5793,                 4.3086,                 4.2714,                0.00225,                0.63462,                0.00543,                 0.0018,                 2.9876,                 4.3095,                 4.1556,             0.00011537,             0.00011537,             0.00011537
                      3,                 3.2854,                 4.2585,                 4.2307,                0.00226,                0.63462,                0.00756,                0.00198,                 2.9863,                  4.311,                 4.1515,             0.00016726,             0.00016726,             0.00016726
                      4,                  3.304,                 4.1723,                  4.218,                0.00224,                0.63462,                0.00672,                  0.002,                 2.9774,                  4.321,                 4.1447,             0.00021279,             0.00021279,             0.00021279
                      5,                 3.3576,                 4.1248,                 4.1589,                0.00226,                0.63462,                0.00519,                0.00182,                 2.9706,                  4.315,                 4.1363,             0.00025196,             0.00025196,             0.00025196
                      6,                 3.2228,                 3.9739,                 4.1009,                0.00226,                0.63462,                 0.0059,                0.00212,                 2.9364,                 4.2956,                 4.1082,             0.00028476,             0.00028476,             0.00028476
                      7,                 3.1591,                 4.0938,                  4.011,                0.00227,                0.63462,                 0.0082,                0.00248,                 2.8952,                 4.3758,                 4.0819,              0.0003112,              0.0003112,              0.0003112
                      8,                 3.1561,                 3.9095,                 3.9445,                0.00234,                0.65385,                0.00725,                0.00217,                 2.9739,                 4.2383,                  4.148,             0.00033129,             0.00033129,             0.00033129
                      9,                 2.9173,                 3.8898,                 3.7633,                0.00223,                0.61538,                0.00615,                0.00205,                 3.1093,                 3.8053,                 4.2675,               0.000345,               0.000345,               0.000345
                     10,                 2.9856,                 3.8232,                 3.6988,                0.00229,                0.63462,                0.08715,                0.02198,                 3.0943,                 3.7769,                 4.2789,             0.00035236,             0.00035236,             0.00035236
                     11,                 2.6995,                 4.2092,                 3.5485,                 0.0022,                0.59615,                0.00693,                0.00228,                 3.2424,                 3.7554,                 4.5021,             0.00035336,             0.00035336,             0.00035336
                     12,                 2.8093,                 4.0842,                 3.4464,                0.00255,                0.71154,                0.02163,                0.00639,                 2.9577,                 3.6989,                 4.0502,             0.00032523,             0.00032523,             0.00032523
                     13,                 2.7505,                  4.186,                 3.4631,                0.01662,                0.01923,                0.01675,                 0.0039,                  2.916,                 3.5646,                 3.8199,             0.00028988,             0.00028988,             0.00028988
                     14,                 2.6838,                 4.0427,                 3.3064,                0.03787,                0.03846,                0.03575,                0.01066,                 2.6725,                 3.4643,                 3.5924,             0.00025454,             0.00025454,             0.00025454
                     15,                 2.6621,                 3.8891,                 3.2546,                0.02174,                0.11538,                0.01233,                0.00383,                 2.6371,                 6.2458,                 4.4452,              0.0002192,              0.0002192,              0.0002192
                     16,                 2.6097,                 3.7245,                 3.2281,                0.04156,                0.59615,                0.06111,                0.01658,                 2.5429,                 3.3911,                 3.3904,             0.00018385,             0.00018385,             0.00018385
                     17,                 2.5852,                 3.9384,                  3.214,                0.04361,                0.51923,                0.08198,                0.02142,                 2.5371,                 3.3466,                 3.3397,             0.00014851,             0.00014851,             0.00014851
                     18,                  2.755,                 3.8205,                 3.2441,                0.05716,                0.03846,                0.05043,                0.01426,                  2.583,                 3.4629,                 3.3724,             0.00011317,             0.00011317,             0.00011317
                     19,                 2.5309,                 3.7993,                 3.2042,                0.16135,                0.11538,                0.07032,                0.01805,                 2.5282,                  3.444,                 3.3608,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     20,                 2.5028,                  3.856,                  3.223,                0.11045,                0.14572,                0.06591,                0.01839,                 2.4903,                 3.6607,                 3.3348,             4.2483e-05,             4.2483e-05,             4.2483e-05
